exp_name,seed,split,task,macro_f1,balanced_acc,roc_auc
transformer_skill_only,13,train,skill,0.8118781006378455,0.8305555555555555,0.9454166666666668
transformer_skill_only,13,train,action,0.2295861844248941,0.29285714285714287,0.4880347694633408
transformer_skill_only,13,val,skill,0.8875,0.8875,0.9430555555555555
transformer_skill_only,13,val,action,0.24868201997780243,0.34259259259259256,0.5177183356195701
transformer_skill_only,13,test,skill,0.7548177385651265,0.773611111111111,0.9164351851851852
transformer_skill_only,13,test,action,0.20760611937082524,0.2803030303030303,0.516988062442608
transformer_skill_only,42,train,skill,0.939903502194953,0.9458333333333333,0.9891666666666666
transformer_skill_only,42,train,action,0.17077796009247623,0.24047619047619045,0.5350340136054422
transformer_skill_only,42,val,skill,0.8783678419821537,0.8791666666666667,0.9604166666666666
transformer_skill_only,42,val,action,0.10616010006253909,0.15740740740740738,0.44650205761316875
transformer_skill_only,42,test,skill,0.8000931966449207,0.7986111111111112,0.8930555555555555
transformer_skill_only,42,test,action,0.13140020898641588,0.19696969696969696,0.4709978573614937
transformer_skill_only,77,train,skill,0.8736024439132137,0.8861111111111111,0.9749537037037037
transformer_skill_only,77,train,action,0.15795765027322406,0.19285714285714284,0.44340136054421775
transformer_skill_only,77,val,skill,0.9154414963027404,0.9145833333333333,0.90625
transformer_skill_only,77,val,action,0.20211323763955344,0.2222222222222222,0.4829675354366712
transformer_skill_only,77,test,skill,0.7878300803673938,0.7930555555555556,0.8833333333333333
transformer_skill_only,77,test,action,0.21827008766657685,0.24242424242424243,0.4425313743495561
transformer_multitask,13,train,skill,0.8593444018731375,0.8722222222222222,0.9597222222222223
transformer_multitask,13,train,action,0.7432991494500295,0.7452380952380953,0.9335449735449736
transformer_multitask,13,val,skill,0.90625,0.90625,0.9739583333333333
transformer_multitask,13,val,action,0.790348703608854,0.7962962962962963,0.9505029721079105
transformer_multitask,13,test,skill,0.8329882677708764,0.8444444444444444,0.9122685185185185
transformer_multitask,13,test,action,0.6563501836479055,0.6590909090909091,0.8813896541169268
transformer_multitask,42,train,skill,0.934674032639941,0.9368055555555556,0.9814814814814815
transformer_multitask,42,train,action,0.7340185042450483,0.7452380952380953,0.947286470143613
transformer_multitask,42,val,skill,0.8863955119214586,0.8833333333333333,0.923263888888889
transformer_multitask,42,val,action,0.7095554009612952,0.7222222222222222,0.9515317786922726
transformer_multitask,42,test,skill,0.8625,0.8625,0.9391203703703703
transformer_multitask,42,test,action,0.5760494987468672,0.5909090909090909,0.8837618610345883
transformer_multitask,77,train,skill,0.8141803743618832,0.8347222222222221,0.9699305555555556
transformer_multitask,77,train,action,0.7052824221838306,0.7119047619047618,0.9212925170068027
transformer_multitask,77,val,skill,0.9150275373721479,0.9125,0.96875
transformer_multitask,77,val,action,0.7612566005423149,0.7685185185185186,0.9427297668038409
transformer_multitask,77,test,skill,0.7792769417055874,0.7930555555555556,0.9041666666666667
transformer_multitask,77,test,action,0.5725371120107963,0.5833333333333334,0.8592745638200183
transformer_multitask_no_velacc,13,train,skill,0.8212005108556832,0.8333333333333333,0.9113888888888889
transformer_multitask_no_velacc,13,train,action,0.6173241561335268,0.6309523809523809,0.8976492819349962
transformer_multitask_no_velacc,13,val,skill,0.8882758620689655,0.8916666666666666,0.9517361111111111
transformer_multitask_no_velacc,13,val,action,0.6946782455993232,0.712962962962963,0.9339277549154092
transformer_multitask_no_velacc,13,test,skill,0.771889400921659,0.7847222222222222,0.9115740740740741
transformer_multitask_no_velacc,13,test,action,0.5644858523119393,0.5757575757575757,0.8389194980104071
transformer_multitask_no_velacc,42,train,skill,0.9111385586605596,0.9173611111111111,0.9784490740740741
transformer_multitask_no_velacc,42,train,action,0.7307790105433238,0.7285714285714286,0.9299924414210129
transformer_multitask_no_velacc,42,val,skill,0.8966507177033493,0.8958333333333333,0.95
transformer_multitask_no_velacc,42,val,action,0.7454610516354172,0.7407407407407407,0.9394147233653406
transformer_multitask_no_velacc,42,test,skill,0.8257475750444814,0.8333333333333333,0.9317129629629629
transformer_multitask_no_velacc,42,test,action,0.638561631523948,0.6363636363636364,0.8728191000918274
transformer_multitask_no_velacc,77,train,skill,0.7688890905893498,0.788888888888889,0.9128240740740741
transformer_multitask_no_velacc,77,train,action,0.6798903866068046,0.6952380952380953,0.9039153439153439
transformer_multitask_no_velacc,77,val,skill,0.8887362637362637,0.8958333333333334,0.9649305555555555
transformer_multitask_no_velacc,77,val,action,0.8225755819569207,0.8240740740740742,0.9583904892546867
transformer_multitask_no_velacc,77,test,skill,0.7303764225269915,0.7527777777777778,0.920138888888889
transformer_multitask_no_velacc,77,test,action,0.5912973567903146,0.6212121212121212,0.8711355984083258
transformer_multitask_no_norm,13,train,skill,0.783233797832338,0.7965277777777777,0.886875
transformer_multitask_no_norm,13,train,action,0.6031251916528317,0.6261904761904762,0.8927135298563871
transformer_multitask_no_norm,13,val,skill,0.7956656346749226,0.8,0.8770833333333333
transformer_multitask_no_norm,13,val,action,0.633234872896527,0.6388888888888888,0.8752857796067673
transformer_multitask_no_norm,13,test,skill,0.8180147058823529,0.8277777777777777,0.9106481481481481
transformer_multitask_no_norm,13,test,action,0.5063885088919289,0.5227272727272727,0.8216253443526171
transformer_multitask_no_norm,42,train,skill,0.8180188628849886,0.8125,0.908611111111111
transformer_multitask_no_norm,42,train,action,0.6931268496272759,0.7023809523809523,0.89854119425548
transformer_multitask_no_norm,42,val,skill,0.7073717649257217,0.7083333333333333,0.8402777777777777
transformer_multitask_no_norm,42,val,action,0.5803242936354064,0.6203703703703705,0.8662551440329218
transformer_multitask_no_norm,42,test,skill,0.8087510866415532,0.8083333333333333,0.8840277777777777
transformer_multitask_no_norm,42,test,action,0.5485421441303795,0.5530303030303031,0.8232323232323232
transformer_multitask_no_norm,77,train,skill,0.6706711920283426,0.6736111111111112,0.7284027777777778
transformer_multitask_no_norm,77,train,action,0.48612501694872495,0.4976190476190476,0.7911640211640212
transformer_multitask_no_norm,77,val,skill,0.6798046738751309,0.6791666666666667,0.7371527777777778
transformer_multitask_no_norm,77,val,action,0.4123896086483933,0.42592592592592593,0.7541152263374487
transformer_multitask_no_norm,77,test,skill,0.665976535541753,0.6680555555555556,0.6847222222222222
transformer_multitask_no_norm,77,test,action,0.44042232277526394,0.44696969696969696,0.7278083868992961
