selection,exp_name,seed,split,task,macro_f1,balanced_acc,roc_auc
best_val_skill_single_seed,transformer_skill_only,77,val,skill,0.9154414963027404,0.9145833333333332,0.90625
best_test_skill_single_seed,transformer_multitask,42,test,skill,0.8625,0.8625,0.9391203703703704
