exp_name,task,split,macro_f1_mean,macro_f1_std,balanced_acc_mean,balanced_acc_std,roc_auc_mean,roc_auc_std
transformer_multitask,action,test,0.6016455981351897,0.04740810028080081,0.6111111111111112,0.041724019297621956,0.8748086929905111,0.01350513673493227
transformer_multitask,action,train,0.7275333586263028,0.019820714499744662,0.7341269841269842,0.01924500897298757,0.9340413202317964,0.013004082818284832
transformer_multitask,action,val,0.7537202350374881,0.04092049659940319,0.7623456790123457,0.0374208507808091,0.9482548392013412,0.0048124244924178
transformer_multitask,skill,test,0.8249217364921546,0.042193850892301245,0.8333333333333334,0.036030893808535656,0.9185185185185185,0.018295825361310643
transformer_multitask,skill,train,0.8693996029583205,0.06087290631270155,0.88125,0.05163697623617033,0.9703780864197532,0.01088653084245491
transformer_multitask,skill,val,0.9025576830978689,0.014668780570707106,0.9006944444444445,0.015356489157983318,0.955324074074074,0.02788679417948658
transformer_multitask_no_norm,action,test,0.4984509919325241,0.05449520230328681,0.5075757575757576,0.054629564779757465,0.7908886848280788,0.05463504905615025
transformer_multitask_no_norm,action,train,0.5941256860762775,0.1037939449512183,0.6087301587301587,0.10349157658859068,0.8608062484252961,0.0603822845006746
transformer_multitask_no_norm,action,val,0.5419829250601089,0.11530699498892992,0.5617283950617283,0.11797231391121236,0.8318853833257126,0.06750211910156094
transformer_multitask_no_norm,skill,test,0.764247442688553,0.08523105099639966,0.7680555555555556,0.08714655245583881,0.826466049382716,0.12347325796803882
transformer_multitask_no_norm,skill,train,0.7573079509152231,0.07701912866617541,0.7608796296296297,0.07599752439383643,0.8412962962962963,0.09837085200493555
transformer_multitask_no_norm,skill,val,0.727614024491925,0.060524807836306906,0.7291666666666666,0.06305310812675649,0.8181712962962963,0.07253731789320524
transformer_multitask_no_velacc,action,test,0.5981149468754006,0.03750553182388918,0.611111111111111,0.03154039393130511,0.86095806550352,0.019104512224628035
transformer_multitask_no_velacc,action,train,0.6759978510945518,0.05682750101687276,0.684920634920635,0.04962063184870033,0.9105190224237844,0.017153029434085525
transformer_multitask_no_velacc,action,val,0.754238293063887,0.06439885198636963,0.7592592592592592,0.057824055540725956,0.9439109891784789,0.012836224037282781
transformer_multitask_no_velacc,skill,test,0.7760044661643773,0.047818558160953054,0.7902777777777777,0.04056411629586173,0.921141975308642,0.010106846599898134
transformer_multitask_no_velacc,skill,train,0.8337427200351976,0.07194934363816358,0.8465277777777778,0.06524452462718358,0.9342206790123456,0.038309635033907406
transformer_multitask_no_velacc,skill,val,0.8912209478361928,0.004707949981841668,0.8944444444444444,0.0024056261216234723,0.9555555555555556,0.008165261122433962
transformer_skill_only,action,test,0.18575880534127262,0.04737692268611256,0.23989898989898986,0.041724019297622005,0.4768390980512192,0.03757046273394811
transformer_skill_only,action,train,0.1861072649301981,0.038195581109404464,0.242063492063492,0.05001889287805947,0.4888233812043336,0.04582141647874069
transformer_skill_only,action,val,0.18565178589329825,0.07267295892750551,0.24074074074074067,0.09397121819529833,0.4823959762231367,0.035611579201464766
transformer_skill_only,skill,test,0.780913671859147,0.02341675267994078,0.788425925925926,0.013127265628479542,0.8976080246913579,0.017014020113712437
transformer_skill_only,skill,train,0.8751280155820041,0.06402633354840893,0.8874999999999998,0.05765143772365904,0.9698456790123456,0.022317808185071394
transformer_skill_only,skill,val,0.893769779428298,0.019315707642491936,0.8937499999999999,0.018517071702740744,0.9365740740740741,0.027658889097187805
